CASE_STATUS	YEAR
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
DENIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
DENIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED-WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
WITHDRAWN	2016
CERTIFIED	2016
CERTIFIED	2016
CERTIFIED	2016
